isic_id,CI_name
ISIC_4524488,CI_16032149
ISIC_4532010,CI_14395783
ISIC_4535409,CI_10064017
ISIC_4548593,CI_10020019
ISIC_4560389,CI_14191163
ISIC_4568425,CI_11513433
ISIC_4573039,CI_15262163
ISIC_4576334,CI_17033734
ISIC_4593872,CI_14580369
ISIC_4598375,CI_10264502
ISIC_4618923,CI_09183681
ISIC_4629662,CI_17384178
ISIC_4630013,CI_14170727
ISIC_4633843,CI_14144228
ISIC_4640181,CI_09231722
ISIC_4646206,CI_15575707
ISIC_4684662,CI_09505453
ISIC_4684692,CI_10073967
ISIC_4687340,CI_14092977
ISIC_4699695,CI_09383504
ISIC_4714276,CI_13343161
ISIC_4718049,CI_14083707
ISIC_4720110,CI_14404178
ISIC_4727454,CI_13141064
ISIC_4730582,CI_13434571
ISIC_4734240,CI_09312482
ISIC_4738071,CI_10231747
ISIC_4738295,CI_14534294
ISIC_4743199,CI_11555179
ISIC_4750271,CI_09011169
ISIC_4753959,CI_15255611
ISIC_4765919,CI_10381400
ISIC_4769243,CI_10165692
ISIC_4774478,CI_11220030
ISIC_4780727,CI_11114410
ISIC_4781223,CI_10105765
ISIC_4782596,CI_10233120
ISIC_4813568,CI_13434853
ISIC_4817275,CI_09453587
ISIC_4818378,CI_15231829
ISIC_4839743,CI_11252641
ISIC_4842908,CI_13302456
ISIC_4849342,CI_15442632
ISIC_4850313,CI_15520771
ISIC_4854971,CI_08550647
ISIC_4865307,CI_15521898
ISIC_4878461,CI_09201520
ISIC_4886164,CI_11595795
ISIC_4891433,CI_14403023
ISIC_4901785,CI_09265553
ISIC_4914130,CI_11002833
ISIC_4914689,CI_12164160
ISIC_4923819,CI_11043349
ISIC_4936288,CI_14120950
ISIC_4938914,CI_08360160
ISIC_4939763,CI_16030784
ISIC_4942265,CI_10590345
ISIC_4947304,CI_08505641
ISIC_4950279,CI_14272555
ISIC_4950354,CI_16113770
ISIC_4951213,CI_11095674
ISIC_4953281,CI_09211078
ISIC_4965308,CI_16273973
ISIC_4967361,CI_16104560
ISIC_4974868,CI_13373412
ISIC_4983958,CI_15075123
ISIC_4985027,CI_14382454
ISIC_4985074,CI_08590628
ISIC_4987653,CI_10134382
ISIC_4990737,CI_14292364
ISIC_4993277,CI_09321229
ISIC_4997067,CI_11521300
ISIC_5010212,CI_11232002
ISIC_5015551,CI_14143220
ISIC_5038394,CI_14074929
ISIC_5045552,CI_10185338
ISIC_5046410,CI_09232119
ISIC_5063476,CI_09545581
ISIC_5065394,CI_08191715
ISIC_5076357,CI_14082740
ISIC_5078271,CI_08404491
ISIC_5091996,CI_14064883
ISIC_5094969,CI_15125133
ISIC_5095052,CI_13503953
ISIC_5123057,CI_14202367
ISIC_5123323,CI_13563794
ISIC_5127003,CI_10042484
ISIC_5145385,CI_16100894
ISIC_5153848,CI_11271631
ISIC_5168763,CI_09433246
ISIC_5176486,CI_11020345
ISIC_5208168,CI_11485318
ISIC_5208776,CI_11391363
ISIC_5209280,CI_15590282
ISIC_5227026,CI_08594604
ISIC_5237059,CI_11030544
ISIC_5256455,CI_11442382
ISIC_5257528,CI_15173072
ISIC_5264073,CI_09513366
ISIC_5268446,CI_10580827
ISIC_5274586,CI_09513827
ISIC_5277926,CI_16442814
ISIC_5299587,CI_12331159
ISIC_5324644,CI_16093917
ISIC_5328915,CI_09470815
ISIC_5330187,CI_10290411
ISIC_5330829,CI_09124082
ISIC_5336791,CI_16455218
ISIC_5337158,CI_11393419
ISIC_5337236,CI_17429755
ISIC_5344574,CI_11495577
ISIC_5347969,CI_14183683
ISIC_5350216,CI_14094906
ISIC_5356349,CI_16094840
ISIC_5359186,CI_13392382
ISIC_5364599,CI_17254042
ISIC_5367118,CI_14074463
ISIC_5369138,CI_14305234
ISIC_5382111,CI_10501550
ISIC_5383422,CI_14513673
ISIC_5392117,CI_13384844
ISIC_5406780,CI_10011317
ISIC_5415749,CI_10592979
ISIC_5416608,CI_17025731
ISIC_5420096,CI_11151789
ISIC_5425768,CI_10244581
ISIC_5426068,CI_09380128
ISIC_5430595,CI_16014382
ISIC_5449076,CI_13591717
ISIC_5449421,CI_11162255
ISIC_5475653,CI_12240394
ISIC_5477137,CI_14011560
ISIC_5523865,CI_10514947
ISIC_5534730,CI_11110399
ISIC_5539279,CI_13060821
ISIC_5544398,CI_14163173
ISIC_5553268,CI_10351592
ISIC_5553918,CI_11501416
ISIC_5557949,CI_15310638
ISIC_5562836,CI_11462996
ISIC_5566735,CI_08380648
ISIC_5569369,CI_15534500
ISIC_5571430,CI_10222319
ISIC_5592362,CI_13574312
ISIC_5597363,CI_15335311
ISIC_5601104,CI_09150558
ISIC_5619717,CI_15073655
ISIC_5620802,CI_14434179
ISIC_5623138,CI_08294844
ISIC_5635819,CI_15554174
